SpMax_L,J_Dz(e),nHM,F01[N-N],F04[C-N],NssssC,nCb-,C%,nCp,nO,F03[C-N],SdssC,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,nCrt,C-026,F02[C-N],nHDon,SpMax_B(m),Psi_i_A,nN,SM6_B(m),nArCOOR,nX,experimental class
3.618,2.1906,0,0,0,0,0,29.4,2,0,0,0,2.333,1.522,7.853,0,0.959,1.147,0,0,0,1.178,0,0,0,0,1.732,0.294,0,0,2.094,0,0,0,0,2.794,1.7,0,6.333,0,0,RB
4.214,2.6272,0,0,0,0,0,30,3,0,0,0,2.523,1.459,8.755,0,0.959,1.145,0,0,0,1.213,0,0,0,0,1.902,-0.181,0,0,2.052,0,0,0,0,2.998,1.722,0,6.77,0,0,RB
3.732,2.3391,0,0,0,0,0,30,2,0,0,0,2.511,1.585,8.16,0,0.959,1.145,0,0,0,1.196,0,0,0,0,1.802,-0.181,0,0,2.488,0,0,0,0,2.846,1.667,0,6.557,0,0,RB
3.879,2.5951,0,0,0,0,0,31,2,0,0,0,2.908,2.281,8.743,0,0.96,1.143,0,0,0,1.202,0,0,0,0,1.902,0.036,0,0,3.685,0,0,0,0,2.924,1.611,0,7.029,0,0,RB
3.942,2.7719,1,0,0,0,0,31.6,2,0,0,0,3.44,2.777,9.207,0,0.969,1.141,0,0,0,1.22,0,0,1,0,1.95,0.003,0,0,5.294,0,0,0,0,3.542,1.739,0,8.127,0,1,RB
3.966,2.852,1,0,0,0,0,32,2,0,0,0,4.075,3.146,9.522,0,0.965,1.138,0,0,0,1.243,0,1,0,0,1.97,0,1,0,6.909,0,0,0,0,6.866,1.603,0,11.578,0,1,RB
3.732,2.3761,0,0,1,0,0,26.3,2,0,1,0,2.532,1.585,8.16,0,0.969,1.157,0,0,0,1.152,0,0,0,0,1.802,-0.195,0,0,2.488,0,0,1,2,2.858,2,1,6.599,0,0,RB
4,2.6264,0,0,0,0,0,23.1,0,0,0,0,2.167,0.811,8.318,0,0.972,1.166,0,0,0,1.182,0,0,0,0,1.732,-0.522,0,0,1,0,0,0,0,2.991,2,1,6.579,0,0,RB
2,1.1521,0,0,0,0,0,16.7,1,1,0,0,1.549,0,4.174,0,1.016,1.173,0,0,0,0.93,0,0,0,0,1,-1.099,0,0,1,0,0,0,1,2.279,4,0,4.948,0,0,RB
3.732,2.4062,0,0,0,0,0,27.8,2,1,0,0,2.555,1.585,8.16,1,0.979,1.15,0,0,0,1.134,0,0,0,0,1.802,-0.205,0,0,2.488,0,0,0,1,2.874,2.333,0,6.649,0,0,RB
4,2.3699,0,0,0,0,0,30,1,1,0,0,2.273,1,8.482,0,0.998,1.146,0,0,0,1.09,1,0,0,0,2.17,0.34,0,0,1,0,0,0,0,3.302,2.083,0,7.174,0,0,RB
3.414,2.2525,0,0,0,0,0,20,2,2,0,0,2.243,1,7.408,0,1.031,1.166,0,0,0,0.98,0,0,0,0,1.618,-0.642,0,0,1.707,0,0,0,2,2.817,3.75,0,6.32,0,0,RB
4.17,2.8042,0,0,0,0,0,23.1,2,2,0,0,2.449,0.971,8.597,1,1.015,1.16,0,0,0,1.044,0,0,0,0,1.848,0.391,0,0,1.542,0,0,0,2,3.047,3.367,0,6.782,0,0,RB
4.303,2.9558,0,0,0,0,0,25,2,2,0,0,2.608,1.459,8.815,2,1.005,1.156,0,0,0,1.056,0,0,0,0,1.932,-0.229,0,0,1.745,0,0,0,2,3.083,3.056,0,6.914,0,0,RB
3.414,2.6294,0,0,0,0,0,37.5,1,1,0,0,2.333,1,7.408,1,1.012,1.13,0,0,0,1.215,0,0,0,0,1.618,-0.66,0,0,1.707,0,0,0,1,3.188,3.5,0,7.035,0,0,RB
4.214,3.0057,0,0,0,0,0,25,1,2,0,0,2.608,1.459,8.755,1,1.005,1.156,0,0,0,1.104,0,0,0,0,1.902,-0.236,0,0,2.052,0,0,0,1,3.087,2.722,0,6.989,0,0,RB
3.848,2.8521,0,0,0,0,0,27.3,2,2,0,0,2.858,2,8.584,1,0.993,1.151,0,0,0,1.117,0,0,0,0,1.879,-0.076,0,0,3.284,0,0,0,1,2.997,2.375,0,7.074,0,0,RB
3.414,2.3729,0,0,0,0,0,30,1,1,0,0,2.263,1,7.408,1,0.998,1.146,0,0,0,1.142,0,0,0,0,1.618,-0.589,0,9.174,1.707,0,0,0,0,3.038,3.125,0,6.735,0,0,RB
4.393,3.6458,0,0,0,0,0,37,3,1,0,2.487,3.233,2.187,9.562,1,0.978,1.131,0,0,0,1.259,0,0,0,0,2.048,0.013,0,10.02,3.684,0,0,0,0,3.39,2.303,0,8.029,0,0,RB
4.562,3.3225,0,0,0,0,0,31.3,3,1,0,0.259,2.634,0.918,9.184,2,0.984,1.143,0,0,0,1.206,0,0,0,0,2,-0.218,0,10.144,1.521,0,0,0,0,3.375,2.667,0,7.403,0,0,RB
4,2.9193,0,0,0,0,0,30,2,1,0,0.167,2.279,0.811,8.318,0,0.998,1.146,0,0,0,1.195,0,0,0,0,1.732,-0.596,0,9.444,1,0,0,0,0,3.261,3.167,0,7.097,0,0,RB
4.694,3.646,0,0,0,0,0,30,2,2,0,-0.671,2.917,1.406,9.425,4,0.998,1.146,0,0,0,1.14,0,0,0,0,2.101,-0.077,0,10.162,1.631,0,0,0,1,3.417,2.875,0,7.595,0,0,RB
4.236,2.9879,0,0,0,0,0,33.3,0,2,0,-0.653,3.974,3.574,10.082,2,0.972,1.138,0,0,0,1.205,0,0,0,0,1.996,0,0,10.389,10.108,0,0,0,1,3.329,1.987,0,8.414,0,0,RB
4.17,3.4453,0,0,0,0,0,27.3,1,2,0,-0.245,2.512,0.971,8.597,1,1.028,1.151,0,0,0,1.112,0,0,0,0,1.848,0.425,0,9.59,1.542,0,0,0,0,3.337,3.233,0,7.294,0,0,RB
4.214,3.3939,0,0,0,0,0,28.6,2,2,0,-0.211,2.662,1.459,8.755,1,1.014,1.149,0,0,0,1.138,0,0,0,0,1.902,-0.249,0,9.822,2.052,0,0,0,0,3.344,2.944,0,7.382,0,0,RB
4.214,3.7074,0,0,0,0,0,33.3,1,2,0,-0.329,2.713,1.459,8.755,1,1.025,1.139,0,0,0,1.186,0,0,0,0,1.902,-0.263,0,9.75,2.052,0,0,0,0,3.38,3.194,0,7.543,0,0,RB
4.233,3.4039,0,0,0,0,0,27.8,1,3,0,-0.262,2.938,1.906,9.011,1,1.022,1.15,0,0,0,1.119,0,0,0,0,1.95,-0.087,0,10.041,2.999,0,0,0,0,3.349,2.833,0,7.61,0,0,RB
4.334,3.6943,0,0,0,0,0,33.3,1,2,0,-0.241,2.838,1.557,8.944,3,1.013,1.139,0,0,0,1.164,0,0,0,0,1.97,0.149,0,10.118,2.195,0,0,0,0,3.39,2.952,0,7.596,0,0,RB
4.372,3.3652,0,0,0,0,0,33.3,1,2,0,-0.177,3.139,2.246,9.253,3,0.993,1.139,0,0,0,1.186,0,0,0,0,2.024,-0.025,0,10.624,3.412,0,0,0,0,3.394,2.517,0,7.788,0,0,RB
5.392,4.5881,0,0,0,1,0,30.8,6,3,0,-0.209,3.517,1.907,10.633,13,0.989,1.144,0,0,0,1.169,0,0,0,0,2.314,0.001,0,11.278,3.598,0,0,0,1,3.503,2.461,0,8.269,0,0,RB
4.446,3.6985,0,0,0,0,0,30,0,4,0,-0.796,3.192,1.922,9.523,6,1.036,1.146,0,0,0,1.116,0,0,0,0,2.061,-0.028,0,20.804,3.132,0,0,0,0,3.431,3.133,0,8.008,0,0,RB
4.411,3.5866,0,0,0,0,0,31.8,2,4,0,-0.328,3.699,2.948,9.956,8,0.995,1.142,0,0,0,1.164,0,0,0,0,2.08,0,0,22.47,6.131,0,0,0,0,3.393,2.407,0,8.325,0,0,RB
4.527,3.7942,0,0,0,0,0,32.5,4,4,0,-0.117,4.14,3.427,10.56,10,0.981,1.14,0,0,0,1.184,0,0,0,0,2.13,0,0,23.699,9.594,0,0,0,0,3.393,2.086,0,8.693,0,0,RB
4.347,3.1269,0,0,0,0,0,33.3,1,2,0,-0.076,3.809,3.309,9.933,3,0.975,1.138,0,0,0,1.202,0,0,0,0,2.019,0,0,10.914,8.395,0,0,0,0,3.358,1.96,0,8.298,0,0,RB
4.562,3.8122,0,0,0,0,0,33.3,1,2,0,-0.759,2.723,0.918,9.184,4,1.025,1.139,0,0,0,1.179,0,0,0,0,2,-0.258,0,9.6,1.521,0,0,0,1,3.511,3.556,0,7.676,0,0,RB
4.629,4.0061,0,0,0,0,0,33.3,1,2,0,0.086,2.847,1.379,9.312,5,1.013,1.139,0,0,0,1.189,0,0,0,0,2.053,0.149,0,10.19,1.776,0,0,0,0,3.523,2.976,0,7.747,0,0,RB
4.655,2.409,0,0,0,0,0,35,1,3,0,0.094,3.204,2.182,9.765,6,1.02,1.135,0,0,0,1.157,1,0,0,0,2.256,0.014,0,10.698,2.989,0,0,0,0,3.542,2.667,0,8.185,0,0,RB
4.644,3.9071,0,0,0,0,0,31.6,2,3,0,-0.104,3.082,1.837,9.467,5,1.021,1.142,0,0,0,1.149,0,0,0,0,2.084,0.049,0,10.469,2.732,0,0,0,1,3.525,3.093,0,7.886,0,0,RB
4.646,3.9619,0,0,0,0,0,34.3,2,5,0,-0.189,3.707,2.587,10.202,10,1.017,1.137,0,0,0,1.184,0,0,0,0,2.107,0,0,21.879,6.086,0,0,0,0,3.535,2.775,0,8.578,0,0,RB
4.468,4.1984,0,0,0,0,0,33.3,2,4,0,-1.073,3.37,2.252,9.651,6,1.025,1.139,0,0,0,1.158,0,0,0,0,2.085,-0.008,0,21.27,3.737,0,0,0,0,3.534,2.944,0,8.196,0,0,RB
4.562,3.7287,2,0,0,0,0,25,1,2,0,-1.21,3.184,0.918,9.184,0,1.134,1.142,0,0,0,1.19,0,0,0,0,2,-0.271,0,9.435,1.521,0,0,0,1,3.976,4.037,0,8.593,0,2,RB
5.206,3.3847,0,0,1,0,0,30.8,1,2,1,-0.947,3.713,2.9,10.416,0,0.979,1.145,0,0,0,1.187,0,0,0,0,2.218,0,0,10.57,6.77,0,0,2,0,3.47,2.167,1,8.295,0,0,RB
4.691,3.8787,0,0,0,0,0,25,0,4,1,-2.498,3.125,1.436,9.666,4,1.066,1.161,0,0,0,1.078,0,0,0,0,2.117,0.052,0,19.617,2.428,0,0,2,4,3.483,4.019,1,8.015,0,0,RB
4.17,3.6206,0,0,0,0,0,28.6,0,3,0,-1.426,2.612,0.971,8.597,0,1.124,1.149,0,0,0,1.095,0,0,0,0,1.848,0.481,0,17.905,1.542,0,0,0,1,3.427,4.733,0,7.521,0,0,RB
4.214,3.3376,0,0,0,0,0,33.3,0,2,1,-1.072,2.774,1.459,8.755,2,1.071,1.148,0,0,0,1.187,0,0,0,0,1.902,-0.277,0,9.377,2.052,0,0,1,1,3.423,4.111,1,7.746,0,0,RB
5.206,3.5794,0,0,1,0,0,30.6,1,3,3,-0.919,3.965,3.189,10.627,2,0.985,1.147,0,0,0,1.18,0,0,0,0,2.22,0,0,22.35,8.266,0,0,4,1,3.473,2.306,2,8.611,0,0,RB
4.17,2.6629,0,0,0,0,0,26.7,3,1,0,0,2.4,0.971,8.597,2,0.983,1.152,0,0,0,1.12,0,0,0,0,1.848,0.342,0,0,1.542,0,0,0,1,3,2.567,0,6.683,0,0,RB
5.175,3.9016,0,0,0,1,0,29.6,3,3,0,-0.239,3.227,1.859,10.165,3,1.002,1.146,0,0,0,1.146,0,0,0,0,2.175,0.014,0,10.355,3.341,0,0,0,0,3.389,2.538,0,7.979,0,0,RB
4.642,3.0034,0,0,0,0,2,42.1,1,1,0,0,3.093,1.187,9.631,2,0.987,1.12,0,0,0,1.256,1,0,0,0,2.2,-0.024,0,0,1.487,0,1,0,1,3.639,2.315,0,8.009,0,0,RB
4.607,2.9443,0,0,0,0,2,42.1,1,1,0,0,3.093,1.187,9.631,2,0.987,1.12,0,0,0,1.242,1,0,0,0,2.194,-0.024,0,0,1.544,0,1,0,1,3.635,2.315,0,8.009,0,0,RB
4.807,3.2486,0,0,0,0,3,42.1,2,1,0,0,3.1,0.881,9.833,3,0.987,1.12,0,0,0,1.272,1,0,0,0,2.246,-0.024,0,0,1.06,0,1,0,1,3.71,2.333,0,8.114,0,0,RB
4.828,3.3386,0,0,0,0,2,40,0,2,0,0,3.203,1.261,9.749,4,1.004,1.125,0,0,0,1.219,1,0,0,0,2.247,0.014,0,0,1.436,0,2,0,0,3.677,2.233,0,8.114,0,0,RB
4.543,2.7023,0,0,0,0,1,42.9,1,2,0,-0.242,3.309,1.705,9.722,3,1.003,1.119,0,0,0,1.241,1,0,0,0,2.166,-0.008,0,10.395,2.905,0,0,0,0,3.573,2.485,0,8.245,0,0,RB
4.521,2.7124,0,0,0,0,1,45,1,1,0,0,3.203,1.661,9.466,1,0.987,1.114,0,0,0,1.268,1,0,0,0,2.154,0.014,0,0,2.593,0,0,0,1,3.587,2.317,0,8.061,0,0,RB
4.607,3.1116,0,0,0,0,2,46.7,0,2,0,0,3.151,1.187,9.631,4,1.02,1.111,0,0,0,1.253,1,0,0,0,2.194,-0.026,0,10.036,1.544,0,1,0,1,3.662,2.926,0,8.143,0,0,RB
4.863,3.3599,0,0,0,0,3,42.1,0,3,0,0,3.335,1.273,9.967,6,1.027,1.12,0,0,0,1.216,1,0,0,0,2.283,-0.008,0,10.249,1.568,0,2,0,1,3.743,2.864,0,8.33,0,0,RB
4.923,3.2457,0,0,0,0,2,44.4,1,2,0,-0.863,3.239,1.185,9.911,4,1.011,1.116,0,0,0,1.248,1,0,0,0,2.267,0.014,0,10.422,1.563,0,0,0,1,3.73,2.8,0,8.28,0,0,RB
5.068,3.3983,0,0,0,0,2,41.7,0,4,0,-1.1,3.571,1.59,10.257,10,1.03,1.121,0,0,0,1.202,1,0,0,0,2.343,0.001,0,22.449,2.147,0,0,0,0,3.793,2.833,0,8.593,2,0,RB
5.074,3.092,0,0,0,0,2,38.1,4,4,0,-0.98,3.869,2.066,10.59,14,1.001,1.129,0,0,0,1.215,1,0,0,0,2.354,0,0,23.965,3.873,0,0,0,0,3.795,2.467,0,8.789,2,0,RB
4.914,3.2253,0,0,0,0,2,41.7,0,4,0,-0.952,3.571,1.59,10.236,10,1.03,1.121,0,0,0,1.202,1,0,0,0,2.307,0.001,0,22.204,2.465,0,0,0,0,3.764,2.833,0,8.591,2,0,RB
5.047,2.7377,0,0,0,0,3,50,0,5,0,-2.685,3.634,1.06,10.531,12,1.078,1.104,0,0,0,1.211,3,0,0,0,2.454,-0.001,0,32.533,1.75,0,0,0,1,3.906,3.321,0,8.796,2,0,RB
4.793,2.1244,0,0,0,0,2,50,0,2,0,-0.288,3.699,0.5,10.239,7,0.998,1.104,0,0,0,1.28,2,0,0,0,2.247,0,0,11.596,3.928,0,0,0,0,3.681,2.313,0,8.7,1,0,RB
4.77,3.1445,0,0,0,0,2,43.8,0,3,0,-0.986,3.261,1.185,9.882,6,1.04,1.117,0,0,0,1.207,1,0,0,0,2.236,0.015,0,10.231,1.74,0,1,0,2,3.712,3.2,0,8.3,0,0,RB
5.313,3.4571,1,0,0,0,2,35.3,0,4,0,0,3.509,1.16,10.388,8,1.061,1.118,0,0,0,1.219,1,0,0,0,2.311,-0.008,0,20.836,1.833,0,2,0,2,4.735,3.477,0,9.513,0,0,RB
4.77,2.5385,0,0,0,0,0,38.5,3,0,0,3.12,3.131,1.185,9.882,0,0.964,1.128,0,0,0,1.274,1,0,0,0,2.236,0.012,0,0,1.74,0,0,0,0,3.521,1.767,0,7.934,0,0,RB
4.414,2.18,0,0,0,0,0,31.6,0,1,0,0,2.755,0.802,9.183,2,0.98,1.142,0,0,0,1.149,1,0,0,0,2.101,-0.066,0,0,0.975,0,0,0,1,3.159,2.119,0,7.119,0,0,RB
4.821,2.5866,0,0,0,0,0,33.3,2,2,0,-0.135,3.232,1.455,9.928,4,0.99,1.139,0,0,0,1.189,1,0,0,0,2.249,-0.007,0,10.635,2.209,1,0,0,0,3.434,2.258,0,7.93,0,0,RB
5.331,2.1747,1,0,0,0,3,47.4,0,4,0,0,4.133,0.393,10.867,15,1.009,1.102,0,0,0,1.3,3,0,0,0,2.37,0,0,13.055,2.694,0,3,0,0,4.44,2.318,0,9.576,0,0,RB
4.607,3.0422,0,0,0,0,2,47.1,1,1,0,0,3.127,1.187,9.631,2,0.992,1.11,0,0,0,1.299,1,0,0,0,2.194,-0.025,0,10.118,1.544,0,0,0,0,3.651,2.481,0,8.116,0,0,RB
5.814,2.4937,0,0,0,2,0,37,3,1,0,0.513,3.256,0.845,10.926,4,0.978,1.131,0,0,0,1.254,3,0,0,0,2.62,0.003,0,11.573,0.811,1,0,0,0,3.756,2.091,0,8.196,0,0,RB
5.637,2.2966,0,0,0,1,0,38.5,3,0,0,1.646,3.144,0.853,10.63,0,0.964,1.128,0,0,0,1.267,3,0,0,0,2.554,-0.006,0,0,0.986,2,0,0,0,3.676,1.658,0,8.065,0,0,RB
5.814,2.4328,0,0,0,2,0,34.5,3,1,0,0,3.227,0.845,10.926,4,0.975,1.136,0,0,0,1.223,3,0,0,0,2.62,0.003,0,0,0.811,1,0,0,1,3.693,1.97,0,8.05,0,0,RB
4.732,2.9426,0,0,0,0,0,40,0,2,0,0.417,2.767,0.959,9.464,1,1.042,1.125,0,0,0,1.208,1,0,0,0,2.236,0.145,0,9.827,1.138,0,0,0,0,3.603,3.056,0,7.829,0,0,RB
4.923,2.7291,0,0,0,0,2,50,0,2,0,-0.199,3.266,0.664,10.037,5,1.019,1.104,0,0,0,1.266,3,0,0,0,2.376,-0.008,0,10.843,1.057,0,0,0,0,3.783,2.5,0,8.33,1,0,RB
4.414,3.2274,0,0,0,0,0,45.5,0,2,0,0,2.935,1.203,9.209,1,1.038,1.114,0,0,0,1.296,1,0,0,0,2.152,-0.085,0,9.774,1.496,0,0,0,0,3.67,2.881,0,8.002,0,0,RB
4.414,2.3717,0,0,0,0,0,29.4,1,2,0,0,2.789,1.203,9.209,1,1.004,1.147,0,0,0,1.141,1,0,0,0,2.152,-0.074,0,0,1.496,0,0,0,1,3.238,2.405,0,7.243,0,0,RB
4.982,2.8025,0,0,2,0,2,50,0,2,2,-0.601,3.38,0.762,10.226,6,1.033,1.109,0,0,0,1.261,3,0,0,0,2.424,0.004,0,21.888,1.027,0,0,2,1,3.853,2.833,1,8.508,0,0,RB
4.651,2.7156,0,0,0,0,0,31.3,0,1,0,0.292,2.826,0.917,9.502,3,0.998,1.148,0,0,0,1.19,1,0,0,0,2.214,-0.074,0,10.5,0.918,0,0,2,0,3.482,2.452,1,7.624,0,0,RB
4.802,3.0226,0,0,1,0,2,50,0,0,2,0,3.174,0,9.805,0,0.985,1.109,0,0,0,1.359,3,0,0,1,2.323,0.013,0,0,0.95,0,0,3,1,3.868,1.981,1,8.357,0,0,RB
5.164,3.2947,1,0,0,0,0,23.1,0,3,0,0,3.108,0.917,9.968,4,1.055,1.138,0,0,0,1.188,1,0,0,0,2.256,-0.081,0,20.417,0.939,0,0,0,0,4.681,3.274,0,9.289,0,0,RB
4.826,2.731,0,0,6,0,0,25,3,3,9,0,3.525,1.654,10.121,0,1.007,1.163,0,0,0,1.12,1,0,0,0,2.303,-0.001,0,0,1.916,0,0,3,3,3.396,2.5,3,8.023,0,0,RB
4.829,2.9046,1,0,1,0,2,39.3,2,3,2,-0.664,3.786,1.875,10.281,6,1.025,1.127,0,0,0,1.227,1,0,0,0,2.284,0,0,22.271,3.31,0,1,3,1,3.74,2.736,1,8.888,1,1,RB
5.439,2.3629,2,0,2,0,0,23.5,0,11,7,-0.945,4.381,1.871,11.509,12,1.055,1.155,0,0,0,1.154,2,0,0,0,2.466,0,0,35.388,5.533,0,0,4,5,4.61,3.182,4,9.993,0,0,RB
4.739,2.6454,0,0,2,0,1,39.1,0,2,1,-0.959,3.394,1.695,9.972,2,1.008,1.13,0,0,0,1.218,1,0,0,0,2.212,0.004,0,10.379,2.815,0,0,2,3,3.585,2.764,1,8.319,0,0,RB
4.659,3.7176,2,0,0,0,0,23.1,0,4,0,-2.138,3.714,2.128,10.094,4,1.042,1.144,0,0,0,1.174,0,0,0,0,2.125,-0.002,0,20.538,4.56,0,0,4,6,4.061,3.333,2,8.992,0,0,RB
3.975,2.8897,0,0,0,0,0,32.3,2,0,0,0,3.699,3.322,9.707,0,0.961,1.141,0,0,0,1.209,0,0,0,0,1.978,0,0,0,8.122,0,0,0,0,2.994,1.55,0,7.896,0,0,RB
4.17,2.607,0,0,0,0,0,25,3,0,2,0,2.373,0.971,8.597,0,0.97,1.161,0,0,0,1.133,0,0,0,0,1.848,0.322,0,0,1.542,0,0,1,2,2.983,2.167,1,6.635,0,0,RB
3,1.8227,0,0,0,0,0,20,0,0,0,0,1.883,0.918,6.594,0,0.975,1.174,0,0,0,1.126,0,0,0,0,1.414,0.764,0,0,1.333,0,0,0,1,2.642,2.167,1,5.834,0,0,RB
3.618,2.3911,0,0,0,0,0,25,2,0,0,0,2.359,1.522,7.853,0,0.97,1.161,0,0,0,1.129,0,0,0,0,1.732,0.33,0,0,2.094,0,0,2,1,2.848,1.9,1,6.432,0,0,RB
3,1.8205,0,0,0,0,0,22.2,2,1,0,0,1.926,0.918,6.594,0,0.998,1.162,0,0,0,1.06,0,0,0,0,1.414,0.826,0,0,1.333,0,0,0,1,2.651,3.167,0,5.86,0,0,RB
4,2.5101,0,0,0,0,0,25,2,1,0,0,2.199,0.811,8.318,0,0.988,1.156,0,0,0,1.118,0,0,0,0,1.732,-0.552,0,0,1,0,0,0,1,2.97,2.833,0,6.539,0,0,RB
4.444,3.1402,0,0,0,0,0,29.6,3,1,0,0,2.946,1.891,9.202,2,0.973,1.146,0,0,0,1.16,0,0,0,0,2.042,0.038,0,0,2.602,0,0,0,1,3.096,2.093,0,7.197,0,0,RB
3.879,2.6274,0,0,0,0,0,29.6,2,1,0,0,2.938,2.281,8.743,1,0.973,1.146,0,0,0,1.161,0,0,0,0,1.902,0.039,0,0,3.685,0,0,0,1,2.936,2.056,0,7.087,0,0,RB
3.95,2.7989,0,0,0,0,0,31,2,1,0,0,3.364,2.807,9.296,1,0.969,1.143,0,0,0,1.18,0,0,0,0,1.956,-0.002,0,0,5.698,0,0,0,1,2.976,1.857,0,7.552,0,0,RB
5.391,3.7046,1,0,0,0,0,26.7,8,4,0,0,3.838,1.735,10.648,12,0.979,1.139,0,0,0,1.532,0,0,0,0,2.358,0,0,0,1.69,0,0,0,0,5.127,2.108,0,9.921,0,0,RB
3.732,2.477,0,0,0,0,0,25,2,2,0,0,2.597,1.585,8.16,2,1.005,1.156,0,0,0,1.069,0,0,0,0,1.802,-0.229,0,0,2.488,0,0,0,2,2.897,3,0,6.732,0,0,RB
3.973,3.0163,0,0,0,0,0,32.7,2,1,0,0,3.68,3.301,9.649,1,0.968,1.14,0,0,0,1.202,0,0,0,0,1.975,0,0,0,7.718,0,0,0,1,3.129,1.816,0,7.984,0,0,RB
3.414,2.4719,0,0,0,0,0,30,1,1,0,0,2.263,1,7.408,1,0.998,1.146,0,0,0,1.141,0,0,0,0,1.618,-0.611,0,0,1.707,0,0,0,1,2.974,3.125,0,6.631,0,0,RB
3.414,2.1848,0,0,0,0,0,18.2,2,1,0,0,2.211,1,7.408,0,1.007,1.178,0,0,0,0.999,0,0,0,0,1.618,-0.603,0,0,1.707,0,0,1,3,2.79,3.25,1,6.251,0,0,RB
4.334,3.1387,0,0,0,0,0,26.3,2,2,0,0,2.746,1.557,8.944,2,0.998,1.153,0,0,0,1.099,0,0,0,0,1.97,0.135,0,0,2.195,0,0,0,1,3.114,2.548,0,7.098,0,0,RB
3,2.311,0,0,0,0,0,28.6,1,1,0,0,2.03,0.918,6.594,0,1.014,1.149,0,0,0,1.177,0,0,0,0,1.414,0.903,0,8.806,1.333,0,0,0,0,2.991,3.667,0,6.578,0,0,RB
4.17,2.8963,0,0,0,0,0,30.8,2,1,0,0,2.466,0.971,8.597,2,0.989,1.144,0,0,0,1.196,0,0,0,0,1.848,0.363,0,9.505,1.542,0,0,0,0,3.18,2.867,0,7.056,0,0,RB
4.414,3.1682,0,0,0,0,0,31.6,3,1,0,0.287,2.768,1.379,9.222,1,0.98,1.142,0,0,0,1.224,0,0,0,0,2,0.126,0,10.254,2.133,0,0,0,0,3.325,2.5,0,7.473,0,0,RB
4.414,3.4137,0,0,0,0,0,33.3,2,2,0,-0.125,2.847,1.379,9.222,2,1.013,1.139,0,0,0,1.209,0,0,0,0,2,0.144,0,20.067,2.133,0,0,0,0,3.426,3.262,0,7.758,0,0,RB
4.236,3.1869,0,0,0,0,0,34.6,1,2,0,-0.671,3.78,3.284,9.867,2,0.977,1.136,0,0,0,1.212,0,0,0,0,1.993,0,0,10.319,8.066,0,0,0,1,3.33,2.133,0,8.337,0,0,RB
